Fund,Str,n,alpha,SE,CI_lo,CI_hi,C,R2,LOO_MSE,ΔAIC,LRT_p,†
Renaissance Technologies,Q,6,0.182,0.034,-0.11,0.37,157,0.865,0.0139,-10.01,0.0005,
Man Group,Q,8,0.254,0.017,0.2,0.3,487,0.977,0.0008,-28.28,0.0,
D.E. Shaw,Q,10,0.312,0.078,0.14,0.71,581,0.799,0.0419,-14.03,0.0001,
AQR Capital,Q,6,0.432,0.025,0.14,0.76,129,0.992,0.0024,-26.94,0.0,
Bridgewater,M,5,0.497,0.019,-0.05,1.21,127,0.993,0.0021,-23.02,0.0,†
Point72,P,4,0.637,0.039,-0.04,1.31,228,0.989,0.0022,-15.92,0.0,†
Capula Investment,Q,4,0.648,0.057,0.14,1.39,42,0.981,0.0139,-13.8,0.0001,†
Citadel,P,10,0.689,0.035,0.48,0.87,165,0.983,0.0051,-38.54,0.0,
Two Sigma,Q,8,0.739,0.009,0.61,0.9,86,0.999,0.0015,-52.57,0.0,
SAC Capital,P,4,0.782,0.075,-2.57,4.08,142,0.96,0.0006,-10.92,0.0003,†
Millennium Management,P,9,0.897,0.077,0.64,1.3,109,0.941,0.0217,-23.4,0.0,
Verition Fund,P,4,1.011,0.012,0.57,1.46,59,0.999,0.0011,-27.36,0.0,†
Balyasny,P,6,1.084,0.02,0.83,1.36,65,0.998,0.0024,-34.75,0.0,
Schonfeld Strategic,P,4,1.305,0.067,0.8,2.36,35,0.99,0.0386,-16.45,0.0,†
ExodusPoint,P,4,1.467,0.059,0.97,2.45,21,0.995,0.023,-19.17,0.0,†
