Fund,Str,n,alpha,SE,R2,Cluster,Hit
GQG Partners,F,5,0.372,0.027,0.974,Algorithmic Scale,✓
Harbinger Capital,F,3,0.391,0.082,0.918,Hybrid Platform,✗
Winton Group,Q,5,0.403,0.095,0.779,Algorithmic Scale,✓
Pershing Square,A,5,0.433,0.208,0.381,Algorithmic Scale,✓
Amaranth Advisors,P,2,0.435,0.0,1.0,Hybrid Platform,✓
Farallon Capital,F,4,0.458,0.062,0.96,Algorithmic Scale,✓
TCI Fund Management,A,4,0.458,0.018,0.994,Algorithmic Scale,✓
Brevan Howard,M,5,0.462,0.044,0.977,Algorithmic Scale,✓
Lone Pine Capital,F,5,0.474,0.058,0.963,Algorithmic Scale,✓
Tiger Global,F,5,0.507,0.057,0.97,Algorithmic Scale,✓
Viking Global,F,5,0.559,0.073,0.887,Algorithmic Scale,✓
PDT Partners,Q,4,0.604,0.036,0.988,Pod-Shop Linear,✗
Elliott Management,A,5,0.659,0.04,0.983,Pod-Shop Linear,✗
Sculptor Capital,P,4,0.666,0.027,0.997,Pod-Shop Linear,✗
BlueCrest Capital,Q,3,0.712,0.068,0.982,Pod-Shop Linear,✗
Marshall Wace,P,5,0.718,0.012,0.999,Pod-Shop Linear,✗
Qube Research,Q,4,0.731,0.029,0.997,Hybrid Platform,✗
Cubist (Point72),Q,4,0.734,0.012,0.999,Pod-Shop Linear,✗
Systematica,Q,4,0.877,0.029,0.996,Pod-Shop Linear,✗
WorldQuant,Q,4,0.88,0.02,0.998,Hybrid Platform,✗
Walleye Capital,P,4,0.953,0.017,0.999,Hybrid Platform,✓
Paloma Partners,P,4,0.973,0.028,0.997,Pod-Shop Linear,✗
Graham Capital,Q,5,0.975,0.046,0.984,Pod-Shop Linear,✗
Hudson Bay Capital,P,4,1.016,0.042,0.996,Pod-Shop Linear,✗
Baupost Group,F,5,1.039,0.068,0.899,Pod-Shop Linear,✗
Coatue Management,F,5,1.072,0.051,0.982,Pod-Shop Linear,✗
Third Point,F,5,1.168,0.109,0.929,Pod-Shop Linear,✗
